timestamp,volume,y_pred
2015-11-05 13:50:00,47,45
2015-11-05 13:55:00,54,45
2015-11-05 14:00:00,46,46
2015-11-05 14:05:00,54,46
2015-11-05 14:10:00,51,46
2015-11-05 14:15:00,58,46
2015-11-05 14:20:00,39,46
2015-11-05 14:25:00,60,47
2015-11-05 14:30:00,52,47
2015-11-05 14:35:00,44,47
2015-11-05 14:40:00,52,47
2015-11-05 14:45:00,49,47
2015-11-05 14:50:00,56,47
2015-11-05 14:55:00,62,47
2015-11-05 15:00:00,64,47
2015-11-05 15:05:00,36,47
2015-11-05 15:10:00,35,47
2015-11-05 15:15:00,49,47
2015-11-05 15:20:00,53,47
2015-11-05 15:25:00,47,47
2015-11-05 15:30:00,52,47
2015-11-05 15:35:00,44,47
2015-11-05 15:40:00,46,47
2015-11-05 15:45:00,43,46
2015-11-05 15:50:00,48,46
2015-11-05 15:55:00,52,46
2015-11-05 16:00:00,52,46
2015-11-05 16:05:00,61,46
2015-11-05 16:10:00,57,46
2015-11-05 16:15:00,54,46
2015-11-05 16:20:00,48,45
2015-11-05 16:25:00,57,45
2015-11-05 16:30:00,63,45
2015-11-05 16:35:00,41,45
2015-11-05 16:40:00,47,45
2015-11-05 16:45:00,64,45
2015-11-05 16:50:00,47,44
2015-11-05 16:55:00,60,44
2015-11-05 17:00:00,56,44
2015-11-05 17:05:00,46,44
2015-11-05 17:10:00,54,44
2015-11-05 17:15:00,48,44
2015-11-05 17:20:00,47,44
2015-11-05 17:25:00,63,44
2015-11-05 17:30:00,61,44
2015-11-05 17:35:00,60,44
2015-11-05 17:40:00,73,44
2015-11-05 17:45:00,68,44
2015-11-05 17:50:00,55,44
2015-11-05 17:55:00,62,44
2015-11-05 18:00:00,67,44
2015-11-05 18:05:00,74,44
2015-11-05 18:10:00,57,44
2015-11-05 18:15:00,53,43
2015-11-05 18:20:00,55,43
2015-11-05 18:25:00,60,43
2015-11-05 18:30:00,50,43
2015-11-05 18:35:00,60,43
2015-11-05 18:40:00,59,43
2015-11-05 18:45:00,56,43
2015-11-05 18:50:00,50,43
2015-11-05 18:55:00,47,43
2015-11-05 19:00:00,43,43
2015-11-05 19:05:00,47,43
2015-11-05 19:10:00,52,43
2015-11-05 19:15:00,48,43
2015-11-05 19:20:00,50,42
2015-11-05 19:25:00,50,42
2015-11-05 19:30:00,38,42
2015-11-05 19:35:00,46,42
2015-11-05 19:40:00,44,41
2015-11-05 19:45:00,56,41
2015-11-05 19:50:00,49,41
2015-11-05 19:55:00,41,40
2015-11-05 20:00:00,50,40
2015-11-05 20:05:00,40,39
2015-11-05 20:10:00,41,39
2015-11-05 20:15:00,39,38
2015-11-05 20:20:00,37,37
2015-11-05 20:25:00,47,37
2015-11-05 20:30:00,47,36
2015-11-05 20:35:00,43,35
2015-11-05 20:40:00,50,35
2015-11-05 20:45:00,43,34
2015-11-05 20:50:00,39,33
2015-11-05 20:55:00,38,32
2015-11-05 21:00:00,35,32
2015-11-05 21:05:00,38,31
2015-11-05 21:10:00,31,30
2015-11-05 21:15:00,43,29
2015-11-05 21:20:00,36,28
2015-11-05 21:25:00,32,27
2015-11-05 21:30:00,27,26
2015-11-05 21:35:00,39,25
2015-11-05 21:40:00,35,24
2015-11-05 21:45:00,31,24
2015-11-05 21:50:00,33,23
2015-11-05 21:55:00,37,22
2015-11-05 22:00:00,21,21
2015-11-05 22:05:00,27,20
2015-11-05 22:10:00,36,19
2015-11-05 22:15:00,26,18
2015-11-05 22:20:00,25,17
2015-11-05 22:25:00,27,16
2015-11-05 22:30:00,27,16
2015-11-05 22:35:00,18,15
2015-11-05 22:40:00,20,14
2015-11-05 22:45:00,21,13
2015-11-05 22:50:00,26,13
2015-11-05 22:55:00,23,12
2015-11-05 23:00:00,18,11
2015-11-05 23:05:00,13,11
2015-11-05 23:10:00,23,10
2015-11-05 23:15:00,22,9
2015-11-05 23:20:00,11,9
2015-11-05 23:25:00,23,8
2015-11-05 23:30:00,19,8
2015-11-05 23:35:00,20,7
2015-11-05 23:40:00,19,7
2015-11-05 23:45:00,14,6
2015-11-05 23:50:00,13,6
2015-11-05 23:55:00,13,6
2015-11-06 00:00:00,13,5
2015-11-06 00:05:00,15,5
2015-11-06 00:10:00,12,5
2015-11-06 00:15:00,19,4
2015-11-06 00:20:00,11,4
2015-11-06 00:25:00,10,4
2015-11-06 00:30:00,14,4
2015-11-06 00:35:00,17,3
2015-11-06 00:40:00,18,3
2015-11-06 00:45:00,9,3
2015-11-06 00:50:00,6,3
2015-11-06 00:55:00,10,3
2015-11-06 01:00:00,20,2
2015-11-06 01:05:00,8,2
2015-11-06 01:10:00,7,2
2015-11-06 01:15:00,11,2
2015-11-06 01:20:00,12,1
2015-11-06 01:25:00,11,1
2015-11-06 01:30:00,7,1
2015-11-06 01:35:00,13,1
2015-11-06 01:40:00,7,0
2015-11-06 01:45:00,12,0
2015-11-06 01:50:00,10,0
2015-11-06 01:55:00,1,0
2015-11-06 02:00:00,3,0
2015-11-06 02:05:00,9,0
2015-11-06 02:10:00,3,-1
2015-11-06 02:15:00,3,-1
2015-11-06 02:20:00,4,-1
2015-11-06 02:25:00,9,-2
2015-11-06 02:30:00,5,-2
2015-11-06 02:35:00,6,-2
2015-11-06 02:40:00,4,-3
2015-11-06 02:45:00,8,-3
2015-11-06 02:50:00,3,-3
2015-11-06 02:55:00,8,-4
2015-11-06 03:00:00,9,-4
2015-11-06 03:05:00,6,-4
2015-11-06 03:10:00,5,-5
2015-11-06 03:15:00,11,-5
