overheads,ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
1.970653462884597,32730,179,183.5207657798387,10.222776087018483,4.705174990733954,8.236033499164716,2.676729066565617
1.9705105997772518,32760,180,184.1687686946944,7.395840009375676,2.719028655375669,5.790303486612311,1.8550580823102722
1.975622581485934,32790,180,184.81677160955,10.954324269822473,4.543370696355245,11.273822280968428,4.0946189045829975
1.9750821789271542,32820,181,185.46477452440567,7.994751771103558,2.660789846250011,7.721403116342848,2.363430993212167
1.9749003101776572,32850,182,186.11277743926124,4.29394836021499,1.6225075340031812,5.091419047291173,1.706375001494363
1.9744015749486836,32880,182,186.76078035411692,9.331274389181527,3.0189926025072586,10.606526916317396,3.9052227741007064
1.9737794269257571,32910,183,187.4087832689725,7.967721144827587,3.1724949230168065,7.885774702329487,2.641709067951344
1.9735191165674082,32940,184,188.05678618382817,4.952011487568786,1.9656281092722716,5.730597419719342,1.8539865572871177
1.9732922572116587,32970,184,188.7047890986838,7.45063174090252,2.48350991576497,9.792584217752836,3.2234503570195163
1.9730533564189376,33000,185,189.35279201353944,7.617974509260631,2.905720933753474,7.953751842160553,2.6402174041750093
1.9728812689251198,33030,186,190.00079492839504,5.756010988517016,1.9028683378097184,6.022510222045637,1.8927772825623674
1.9728561964071507,33060,186,190.6487978432507,8.093136587190518,2.851525931894548,10.251051808571127,3.41798580793505
1.9725613165740241,33090,187,191.29680075810631,9.42371052043458,4.553915242264928,8.648954486366671,2.9326743748231414
1.9725318521725217,33120,187,191.94480367296197,7.435524072451133,2.304070696315068,5.538312562676794,1.7931395108121992
1.9721804420843794,33150,188,192.59280658781762,9.882175333482145,4.5517752405959016,10.366884987721416,3.8232017784755223
1.9772656132092046,33180,189,193.24080950267324,9.62725190427801,3.419459155788409,8.742643078203155,3.0763344189806467
1.9772320556398195,33210,189,193.8888124175289,6.983154458443714,2.3979200692801026,6.080226939322029,2.0668349552941523
1.9816623930256336,33240,190,194.5368153323845,10.541409777141658,5.20976639336364,10.24968153250662,3.9771865878246992
1.9815732555215022,33270,191,195.18481824724017,7.785235582849378,2.7369799508738826,8.217054807554714,2.8189074536595653
1.9812442052152677,33300,191,195.83282116209574,6.611102793321276,1.887586418038697,6.649587752830313,1.9845255317296975
1.9808486015754303,33330,192,196.48082407695142,8.828446315209812,3.114082368597953,9.646438556811594,3.3935978392329185
1.98052464418212,33360,193,197.12882699180702,8.984616311886356,3.1045584173020506,9.06605645797527,3.44823675364063
1.9801996349494604,33390,193,197.7768299066627,7.383660083722062,2.212522649422575,6.840090502095447,2.145388548411544
1.9795878620062746,33420,194,198.42483282151827,11.565332876077393,3.4845168129232023,10.484388207021174,3.5478413736952144
1.9791784876987952,33450,195,199.07283573637395,7.9894263711501186,2.553285974631201,8.236534989141058,2.730655858060654
1.9838577720735904,33480,195,199.72083865122954,5.866797399585638,1.8938244492397383,5.705528019383289,1.7626920062436133
1.9839100038624455,33510,196,200.36884156608522,12.456131617806955,4.666817375315461,11.28820314801541,4.048089423115828
1.984047487892813,33540,197,201.0168444809408,8.53111325121555,2.6010543492751412,7.977395915144209,2.6535290868252766
1.9843430493744163,33570,197,201.66484739579647,5.970127827514696,1.9525698022981306,5.732659232548903,1.7992952096668218
1.9843386975577493,33600,198,202.38198050642404,9.882066239055668,3.625112763422725,10.388696039330686,3.5733669875490515
1.9836473162302082,33630,199,203.09911361705156,8.399694703289619,3.385128819702781,8.444104890161404,3.046049484575769
1.9831401895900593,33660,199,203.81624672767913,6.040445159354985,1.8534304804725976,5.605236057934196,1.8071528124938714
1.9832439369281862,33690,200,204.53337983830664,9.420566906760941,3.370408906039383,10.43865671332759,3.9697193572231937
1.9828790877151297,33720,201,205.25051294893422,8.620502642027878,2.7144284598836217,7.985491261015071,2.6934929436584927
1.9825783921091538,33750,202,205.96764605956173,6.727306546296185,2.0560376461956387,6.470523407728364,1.9960656741128056
1.9875390688514052,33780,202,206.6847791701893,11.71161558929624,4.589678377766181,9.987807699491947,3.3651875601109578
1.9870888442572476,33810,203,207.40191228081682,8.39226722018099,3.0745640044558664,8.077831025389509,2.905519966889869
1.9866788191103821,33840,204,208.1190453914444,5.829694391316614,1.9245878567582997,6.355855323755213,1.9953106953111277
1.986576186643722,33870,204,208.8361785020719,9.348515590982071,3.0391587846124763,10.052383660342215,3.327297717898882
1.9862438764881754,33900,205,209.55331161269947,7.704950833349525,3.020065137358548,7.8691477551515385,2.7756947019472586
1.9961755733324635,33930,206,210.27044472332696,6.296436587846371,2.143771905131295,6.134230584016962,1.9307708452662997
1.9961375546590725,33960,207,210.98757783395456,9.81019208937568,3.517305884124836,11.318341146197984,4.081421755129525
2.001089372389473,33990,207,211.70471094458205,8.449184546703751,2.931496187578496,8.201816644637086,2.7550178081496983
2.000773093784702,34020,208,212.42184405520965,6.870576211535053,1.9393621523051356,6.608671035754976,1.9613338356792953
2.000975129430551,34050,209,213.13897716583722,9.793056661862632,4.136435877961273,10.360107188432496,3.781340342076956
2.0006611767816067,34080,210,213.85611027646473,9.371946506945271,3.690681756277699,8.16015838372298,2.759563268022905
2.0000461491661548,34110,210,214.5732433870923,6.889134679639549,2.3322429062686125,6.062256986160043,1.864727951323227
2.0050044232353708,34140,211,215.2903764977198,8.083003480805285,2.859286480586393,10.486532461100655,3.1858723455705205
2.004339231593582,34170,212,216.0075096083474,8.684913870806659,3.4733739411569577,6.937348746243887,2.185076712556323
2.004065585460637,34200,212,216.72464271897488,7.572186705720749,2.624380563430577,6.211937002393017,1.8227325442375653
2.0037555180673934,34230,213,217.44177582960245,7.994986879527185,2.877620835281774,10.29273662178718,3.1209571786941477
2.003439996113032,34260,214,218.15890894022996,6.710351026734057,2.363720070848507,6.53663477136192,2.0273111614936394
2.0029793698612974,34290,214,218.87604205085754,7.454361370769027,2.2676946078425573,5.753062041634208,1.714765568518998
2.003023937144942,34320,215,219.59317516148505,11.41558300070879,5.263849984706736,11.058730353157829,4.147030465826076
